LGA Status,Program Name,Round,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners/ Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb/Location,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project,Local Government Area (LGA),RAP Region (based on Project Location),State Electorate,Contractual Commitment ($ GST excl.),Approval Date,Approval Year,Indigenous_Related,Medical_Related
Regional Councils,Hot DesQ,Round 3,The Space Australasia Pty Ltd,Cairns,4870,,,Host,Cairns,4870,,Cairns (R),Far North Queensland,Cairns,8000,2019-01-08,2019,0,0
Regional Councils,Hot DesQ,Round 3,The Space Australasia Pty Ltd,Cairns,4870,,,Host,Cairns,4870,,Cairns (R),Far North Queensland,Cairns,6000,2019-01-08,2019,0,0
Regional Councils,Hot DesQ,Round 3,The Space Australasia Pty Ltd,Cairns,4870,,,Host,Cairns,4870,,Cairns (R),Far North Queensland,Cairns,6000,2019-01-08,2019,0,0
Cities,Hot DesQ,Round 3,Creative Industries Precinct Pty Ltd T/A QUT Creative Enterprise Australia,Kelvin Grove,4059,,,Host,Kelvin Grove,4059,,Brisbane (C),Brisbane and Redlands,McConnel,10000,2019-01-08,2019,0,0
Cities,Hot DesQ,Round 3,Fishburners Limited,Brisbane City,4000,,,Host,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,8000,2019-01-08,2019,0,0
Cities,Hot DesQ,Round 3,Fishburners Limited,Brisbane City,4000,,,Host,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,6000,2019-01-08,2019,0,0
Cities,Hot DesQ,Round 3,Fishburners Limited,Brisbane City,4000,,,Host,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,8000,2019-01-08,2019,0,0
Cities,Hot DesQ,Round 3,Gold Coast Innovation Hub Limited,Robina,4226,,,Host,Robina,4226,,Gold Coast (C),Gold Coast,Mudgeeraba,8000,2019-01-08,2019,0,0
Cities,Hot DesQ,Round 3,River City Labs Pty Ltd,Fortitude Valley,4006,,,Host,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,8000,2019-01-08,2019,0,0
Cities,Hot DesQ,Round 3,River City Labs Pty Ltd,Fortitude Valley,4006,,,Host,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,8000,2019-01-08,2019,0,0
Cities,Research Fellowships,Research Fellowships,Defence CRC TAS Limited,Toowong,4066,,,Establishment and operation of the DCRC TAS in Queensland,Toowong,4066,,Brisbane (C),Brisbane and Redlands,Maiwar,1000000,2019-01-31,2019,0,0
Cities,Female Founders Program,,Advisory Board Centre Pty Ltd,Brisbane City,4000,,,Provision of Innovation Services Contract No. DITID 26-19,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,76500,2019-03-04,2019,0,0
Cities,Female Founders Program,,Impact Innovation Group Pty Ltd,Brisbane City,4000,,,Provision of Innovation Services Contract No. DITID 25-19,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,1452855,2019-03-05,2019,0,0
Cities,Industry Accelerators,,ARC Hardware Incubator Pty Ltd,Fortitude Valley,4006,,,Arc Hardware Incubator - Hardware Innovation for Global Startups,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,99800,2019-04-24,2019,0,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,iiHub Ltd,Cairns City,4870,," Entrepreneurs and Small Business Indigenous Corporation 
 Complete Business Solutions (QLD) Pty Ltd",Building skills and capacity through education empowerment and collaboration,Cairns City,4870,,Cairns (R),Far North Queensland,Cairns,43750,2019-05-21,2019,1,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Stepping Black Indigenous Corporation Australia,Craignish,4655,, MACorp - Maryborough Aboriginal Housing Corporation,Stepping Up through Business Enterprise,Craignish,4655,"Maryborough, Hervey Bay, South Burnett, North Burnett",Fraser Coast (R),Wide Bay,Maryborough,7500,2019-05-21,2019,1,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Bundaberg Enterprise Centre Association Inc,Bundaberg Central,4670,," AT_Incubator 
 AusIndustry",Startup Switchboard,Bundaberg Central,4670,"Bundaberg BEC - 20B Quay St, Bundaberg",Bundaberg (R),Wide Bay,Bundaberg,75000,2019-05-21,2019,0,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Canvas Coworking Inc,Toowoomba City,4350,,,Canvas Coworking Inc Programs and Activities Support,Toowoomba City,4350,,Toowoomba (R),Darling Downs,Toowoomba North,75000,2019-05-21,2019,0,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,CLS Ability Enterprises Ltd,Kalkie,4670,," Ms Stephanie Piper 
 Regional Housing Limited 
 Allied Health Centre 
 Rosa Cattle Company 
 Bundaberg Fruit & Vegetable Growers 
 Central Queensland University 
 LESS Industries 
 TAFE Queensland (Bundaberg)  Bundaberg Regional Council 
 The Generator 
 Ulton Financial Planning 
 Tikkun Olam Makers (TOM Global - Head Office in Tel Aviv, Israel)",AT_Incubator: Hardware Entrepreneurship Program,Kalkie,4670,,Bundaberg (R),Wide Bay,Bundaberg,75000,2019-05-21,2019,0,0
